S4Yx30-clique-rcom-normalized,S9Yx15-clique-rcom-normalized,S12Y3x10-clique-rcom-normalized,S24Y6x5-clique-rcom-normalized,S120Y30-clique-rcom-normalized,Sc_S4Yx30-clique-rcom-normalized,SSYx50-clique-rcom-normalized,YSx75-clique-rcom-normalized,Yx150-clique-rcom-normalized,YYSx50-clique-rcom-normalized
0.336021905,0.319104075,0.270366874,0.230449413,0.516438731,0.302055111,0.253827829,0.258520465,0.264644569,0.213614441
0.42075852,0.201114011,0.207811385,0.423456861,0.188182045,0.306245183,0.248584481,0.180464166,0.292693714,0.190805372
0.240816655,0.204936374,0.235570743,0.099550521,0.197997621,0.255263567,0.128568712,0.171258646,0.24507679,0.118223118
0.309078875,0.240324677,0.265545741,0.148595677,0.143385468,0.219328322,0.319702866,0.18985612,0.213480435,0.244594527
0.212690079,0.123885523,0.216761285,0.41314724,0.544912121,0.256651432,0.328924041,0.212183245,0.254642507,0.206226911
0.205002305,0.24836312,0.341736006,0.366472282,0.180631024,0.304110992,0.184557924,0.220529743,0.253346511,0.182016464
0.286798953,0.298806956,0.24032595,0.38599894,0.163812065,0.280774796,0.263400777,0.258440947,0.213420602,0.205444984
0.438891335,0.189909292,0.263119745,0.247564368,0.127715825,0.477957011,0.227853784,0.245870815,0.306026481,0.288117516
0.289304263,0.16965737,0.355373137,0.094650888,0.097498808,0.272583571,0.202870564,0.230969699,0.248616932,0.269320419
0.227073068,0.303296165,0.291709131,0.179668593,0.150629147,0.259454126,0.311568645,0.25824703,0.314854617,0.280271109
0.223311276,0.323869886,0.296917632,0.257572798,0.1906124,0.334596851,0.311355323,0.315720217,0.280060041,0.260870569
0.217147726,0.282008759,0.213181695,0.54080668,0.126012015,0.322440076,0.286724385,0.080130469,0.24845106,0.111174026
0.266091384,0.251038461,0.20041282,1.088916191,0.19464866,0.254431313,0.235820375,0.223033331,0.308868407,0.309983306
0.226471974,0.213692148,0.28289722,0.137923776,0.138765412,0.282578636,0.242217457,0.189208982,0.348834325,0.210039553
0.12092984,0.219401663,0.319217324,0.282395743,0.147616517,0.517300015,0.200720071,0.235354423,0.159830554,0.147828422
0.090538637,0.179559997,0.298994272,0.268834346,0.195553404,0.247959467,0.327969582,0.230984389,0.281828776,0.143210637
0.123630573,0.30890625,0.34446226,0.368099502,0.142349001,0.48648894,0.147330937,0.198332928,0.175689424,0.305169689
0.171249875,0.249482069,0.262620391,0.21496981,0.195362391,0.244265192,0.195777423,0.255362372,0.170329189,0.202780037
0.338850087,0.209584122,0.420876786,0.413632996,0.164505352,0.2414026,0.205338808,0.280203327,0.222220596,0.218025583
0.235146104,0.236498234,0.288658623,0.090221049,0.094606509,0.411925829,0.149874133,0.171059993,0.260052466,0.183483535
0.207307475,0.206012838,0.122516479,0.359201056,0.556241895,0.33470786,0.111632984,0.217243163,0.241019102,0.20325341
0.269897773,0.220839571,0.18824602,0.277828432,0.097460429,0.313689599,0.128630584,0.159690256,0.227054113,0.187632779
0.273885094,0.311840209,0.12386106,0.473069577,0.21846066,0.20861479,0.302614399,0.083292697,0.331832581,0.293758933
0.203133472,0.134459296,0.233999313,1.044998621,0.141326751,0.163946262,0.33580277,0.140411856,0.265977052,0.232270657
0.239389045,0.315015496,0.249829424,0.231597063,0.192097623,0.503568246,0.375320658,0.225552576,0.224290865,0.186736781
0.18530588,0.257426264,0.134886291,0.188357829,0.170962572,0.511024612,0.335032274,0.364905339,0.31850647,0.175028654
0.118955645,0.27694473,0.22669164,0.10687547,0.138536694,0.52485874,0.266292817,0.384338745,0.289478795,0.172795127
0.361963811,0.217415747,0.261886072,0.408551904,0.560587448,0.447073092,0.239971851,0.354413631,0.285033928,0.179768801
0.227588736,0.248780368,0.248086251,0.145883553,0.130960876,0.27343741,0.314039912,0.331965416,0.289031957,0.205910013
0.156789915,0.220829216,0.312758514,0.222950909,0.110463395,0.364306982,0.161681224,0.084594598,0.278821041,0.165067812
0.174549449,0.2176932,0.219131221,0.567482664,0.170202391,0.362405904,0.171082939,0.064614518,0.232278831,0.245083549
0.193327972,0.249862884,0.140516374,0.268774701,0.145790738,0.53597788,0.340261003,0.050701172,0.202653325,0.269787143
0.242747411,0.260842231,0.144047867,0.193374744,0.205782218,0.568452845,0.118718854,0.224849049,0.248172868,0.176331818
0.226961363,0.240005898,0.332647161,1.058621831,0.121381257,0.502721,0.290325367,0.269120709,0.106234071,0.235618995
0.179095188,0.249855751,0.362644836,0.213940756,0.700128218,0.125583852,0.324274255,0.216586724,0.294688591,0.192527473
0.2675212,0.26184492,0.268794018,0.436108654,0.576659564,0.276519753,0.209996793,0.231124919,0.1687024,0.326486955
0.168542646,0.356424164,0.190575982,0.20187245,0.122218576,0.256054657,0.272365589,0.334230038,0.294004671,0.185511327
0.323952188,0.247209405,0.207995378,0.377195885,0.16001948,0.318992778,0.15318943,0.270008268,0.332627398,0.201738171
0.145425363,0.229366684,0.252779195,0.097237197,0.134977111,0.329950719,0.183256701,0.262147128,0.279752377,0.196846959
0.359563308,0.230988926,0.186731016,0.421842312,0.525631595,0.408159174,0.228921309,0.226945677,0.250442731,0.16657981
